A,TRT,CITY,its,16s,AOA,AOB,PICRUStAmoa,logaob,logaoa,F_Pathotroph,F_Symbiotroph,F_Saprotroph,Arch_acid,Arch_Meth,Arch_Amoa,logArchAMOA,BacteriaPielou,ArchaeaPielou,FungiPielou,bacgenes,archgenes
29,T4,C2,653432.88,76238274361,336360.637,5309.099742,3.333333333,3.725020884,5.526805166,0.135458168,0.053784861,0.003984064,3,3,246,2.390935107,0.293720675,0.189966028,0.844664554,7.61E+10,1.55E+08
30,T4,C2,1592126.3,31295709653,2286978.285,70695.07516,67.33333333,4.849389161,6.359262041,0.360216337,0.001570826,0.001033961,1,9,949,2.977266212,0.362899151,0.367395064,0.56507359,3.11E+10,2.13E+08
31,T3,C2,9203556.59,40765615887,3780519.431,12154.01531,32,4.084719779,6.577551475,0.236581853,0.005600897,0.000736118,2,1,625,2.795880017,0.45432082,0.363440331,0.638773397,4.05E+10,2.32E+08
32,T3,C2,50674847.7,40607058344,4883738.857,38242.20227,80,4.582542894,6.688752433,0.088758445,0.000719902,0.000232584,0,3,2691,3.429913698,0.51266546,0.219911901,0.482042453,3.95E+10,1.12E+09
33,T3,C2,29713511.62,42437258601,7325323.487,25009.49172,32,4.398104865,6.864826808,0.033321109,0.000995441,0.000261958,0,8,1317,3.119585775,0.455965795,0.3526159,0.568552941,4.20E+10,4.42E+08
34,T3,C2,672875.27,14635688900,1753045.655,7143.439387,40,3.853907364,6.243793227,0.163479054,0.020533201,0.000703759,1,28,2255,3.353146546,0.458009138,0.307345926,0.621818683,1.44E+10,2.08E+08
35,T3,C2,5308721.78,41039404241,49357383.37,21756.90061,74,4.337597028,7.693352128,0.251134591,6.93E-05,0,1,86,3867,3.587374172,0.567648825,0.355777054,0.512911451,3.98E+10,1.21E+09
36,T2,C2,1723116569,12892189738,26382.69395,155.0674051,40,2.19052052,4.42131914,0.02821938,0.016364131,7.77E-05,0,1,43,1.633468456,0.69593863,0.473757112,0.499560674,1.28E+10,4.53E+07
37,T2,C2,837949679.6,28943258857,617512.69,3064.956537,0,3.48642432,5.790645887,0.052656722,0.023581527,0.000868565,4,2,41,1.612783857,0.472267974,0.719416998,0.504831327,2.89E+10,4.67E+07
38,T2,C2,544868722.1,11184638328,6495691.309,4046.156515,0,3.607042678,6.812625378,0.002985341,0.041438308,0,0,19,3,0.477121255,0.669294243,0.558291249,0.424015415,1.11E+10,4.67E+07
39,T2,C2,636523525.1,7063425922,217856.1388,758.9106286,0,2.880190635,5.338169802,0.021273061,0.032947507,0.000597838,5,5,12,1.079181246,0.701593801,0.462940833,0.321377821,6.98E+09,8.69E+07
40,T2,C2,219628676.9,13538203976,5272.611752,294.1196274,0,2.468524007,3.722025793,0.029033154,0.067280977,9.26E-05,3,12,5,0.698970004,0.682849853,0.730746248,0.497288048,1.35E+10,9.28E+06
41,T1,C3,1308004421,45375666652,459451.2597,3058.738261,32,3.485542316,5.662239447,0.006077524,0.016183175,0.000883361,0,0,166,2.220108088,0.482531607,0.442415404,0.333224862,4.53E+10,1.09E+08
42,T1,C3,58291494.8,47310892502,496405.2193,31861.55716,40,4.503266997,5.695836339,0.036769737,0.004127216,0.008188219,0,1,99,1.995635195,0.447030752,0.511705641,0.337608256,4.73E+10,4.06E+07
43,T1,C3,17975.06,32622074.92,261479.276,0.446307219,0,-0.350366088,5.417437274,0.002345498,0.004445535,0.000163639,2,2,10,1,0.505309045,0.821562735,0.38412679,3.26E+07,1.86E+04
44,T1,C3,45539133.43,45537654756,76685.42186,2105.972615,1,3.323452719,4.884712811,0.114908288,0.038670529,0.000634396,0,1,10,1,0.465363393,0.784577661,0.292156047,4.55E+10,1.69E+07
45,T1,C3,97884291.01,27419249528,167925.8261,1108.097793,0,3.04457809,5.225117493,0.025286917,0.134177644,0.000615202,0,1,2,0.301029996,0.456716277,0.750708986,0.400784129,2.74E+10,1.29E+07
46,T4,C3,245967590.8,41885520683,51072.85474,8058.300178,0,3.906243441,4.708190134,0.020156639,0.001258696,0.001940491,0,8,34,1.531478917,0.370214039,0.56907524,0.387307074,4.19E+10,1.68E+07
47,T4,C3,300463004.4,25920747086,14337796.79,11192.0276,168,4.048908773,7.156482421,0.040087825,0,0,0,5,2711,3.433129518,0.536073652,0.323303313,0.253583637,2.54E+10,5.08E+08
48,T4,C3,84024397.42,24242374138,23937.71905,1343.608218,0,3.128272652,4.379082766,0.017799521,0.00182159,0.000520453,2,43,134,2.127104798,0.3424636,0.522660283,0.216560127,2.42E+10,4.64E+07
49,T4,C3,232727195.9,30843792649,4283580.203,31876.38605,122,4.503469078,6.631806903,0.002938101,9.96E-05,0.000248992,3,5,1314,3.118595365,0.469291238,0.278076906,0.14448299,3.05E+10,3.78E+08
50,T4,C3,98972067.78,23934732856,2192234.591,62699.59395,75,4.797264728,6.340887026,0.005016671,6.12E-05,0,0,59,765,2.883661435,0.383822581,0.388287806,0.25005825,2.38E+10,1.55E+08
51,T3,C3,140213509.5,44364355546,2644666.311,339.4783914,0,2.530812136,6.422370883,0.004757919,0.000371185,6.75E-06,0,1,144,2.158362492,0.450473064,0.570891875,0.295977091,4.43E+10,7.29E+07
52,T3,C3,82430446.93,24968534241,18930716.45,59.07362398,16,1.771393614,7.277167051,0.080910939,0.000894673,0,0,1,3856,3.586137025,0.576313091,0.412000427,0.389488546,2.44E+10,5.82E+08
53,T3,C3,24792355.64,17700896931,984602.205,196488.5317,378,5.293337207,5.993260804,0.000434909,0,0.000289939,10,201,133,2.123851641,0.405061543,0.64144687,0.307049467,1.76E+10,5.84E+07
54,T3,C3,74924528.32,12770049638,2244694.263,2390.264411,40,3.378445945,6.351157197,0.001245926,0.000049507,0,2,41,2014,3.304059466,0.514510349,0.331036983,0.229443831,1.26E+10,1.88E+08
55,T3,C3,1383.16,5309288.72,1328.64968,8.564001387,17,0.932676729,3.123410487,0.006388621,0,0.00004018,1,147,14,1.146128036,0.352089759,0.511328242,0.353083343,5.30E+06,5.92E+03
56,T2,C3,396307198.6,35313128517,382525.7181,143907.8388,48,5.158084451,5.582660639,0.042409536,0.005837466,0.000703308,0,1,77,1.886490725,0.440182092,0.528869289,0.448197475,3.53E+10,3.28E+07
57,T2,C3,759098296.8,41936640780,1189669.63,35682.86503,153,4.552459717,6.075426375,0.031826807,0.011428324,0.001336899,0,5,365,2.562292864,0.515432153,0.265196291,0.348432022,4.18E+10,1.24E+08
58,T2,C3,258973205.2,17385087106,7163.291769,42554.00344,80,4.628940424,3.855112641,0.01957567,0.002051001,0.00145849,0,4,5,0.698970004,0.414509159,0.982567593,0.276783857,1.74E+10,2.48E+05
59,T2,C3,27212871.67,43734590639,914468.5687,670.0025412,8,2.82607645,5.961168783,0.208354349,0.028265055,0.003287937,0,0,7,0.84509804,0.475507746,0.941734626,0.595423217,4.37E+10,7.50E+06
60,T2,C3,13188281.15,22487584478,92169.40472,14064.69288,16,4.148130253,4.964586783,0.11230227,0.012335838,0.003146898,0,9,17,1.230448921,0.480762508,0.864040094,0.547838813,2.25E+10,8.03E+06
61,T1,C4,162773349.8,13831636777,4289864.583,2959.60655,16,3.47123398,6.632443583,0.000318084,0.000261951,0,1,0,1322,3.121231455,0.33781636,0.493789448,0.251801838,1.37E+10,1.59E+08
62,T1,C4,1248831732,5936143367,50967.20353,2039.81007,0,3.309589731,4.707290805,0.007929549,3.81E-05,0,4,6,393,2.59439255,0.503683632,0.380721309,0.281882741,5.89E+09,4.21E+07
63,T1,C4,41134038.8,5381179131,30847137.6,148.272226,1,2.171059808,7.489214871,0,2.84E-05,0.015909478,2,2,4278,3.63124078,0.552980629,0.331085493,0.370334691,5.15E+09,2.28E+08
64,T1,C4,258720234,19494635189,9972011.413,1914.626894,64,3.282084155,6.998782767,0.002957784,0.005377789,0.001613337,2,4,4329,3.636387586,0.566337687,0.427958968,0.413418165,1.88E+10,6.97E+08
65,T1,C4,85532449.78,12616946488,42874048.46,1648.554835,0,3.217103397,7.632194494,0.000466126,0.000112513,1.61E-05,0,1,7048,3.848065895,0.524188965,0.357522302,0.256514314,1.18E+10,7.91E+08
66,T4,C4,48896543.41,21676122007,3746224.638,46874.78834,48,4.67093932,6.573593816,0.003516312,0,0,0,2,1737,3.239799818,0.447740623,0.4502513,0.138147003,2.14E+10,2.33E+08
67,T4,C4,1268478524,11518386465,80381360.66,543.2097444,0,2.734967552,7.905155353,0.000825331,0,0,0,0,5315,3.725503269,0.614277014,0.328426007,0.051329585,1.08E+10,6.97E+08
68,T4,C4,91633454.31,35259856304,4762855.702,2520.603336,0,3.401504507,6.677867424,0.008280869,3.04E-05,0,0,2,9018,3.955110231,0.472447335,0.297393825,0.190680056,3.30E+10,2.23E+09
69,T4,C4,238213929.6,34761358553,148699766.8,82151.7633,80,4.91461689,8.172310288,0.000508877,0,0,2,5,14477,4.160678574,0.519229902,0.294757774,0.14362102,2.99E+10,4.86E+09
70,T4,C4,29223970.99,14024274861,16887003.94,2286.42788,48,3.359157507,7.227552605,0.00224757,0.000033798,0,0,4,8061,3.906388921,0.438545924,0.336358251,0.131182981,1.34E+10,6.60E+08
71,T3,C4,130913009.7,28800077792,36830486.72,19178.04802,24,4.282804402,7.566207458,0.000292498,4.87E-05,1.22E-05,3,18,4882,3.688597775,0.509704768,0.382208325,0.275044364,2.79E+10,9.21E+08
72,T3,C4,149460393,18335320015,7479767.82,237.9384421,0,2.376464614,6.873888117,0.009146784,0.001563865,0.001218359,1,0,8114,3.909235003,0.545789362,0.378015233,0.175834081,1.70E+10,1.38E+09
73,T3,C4,95614940.44,12350490670,33739040.68,2558.011106,16,3.407902426,7.52813273,0.005248746,0.000547622,0.000412823,0,22,8604,3.934700402,0.521728344,0.34736333,0.185961301,1.17E+10,6.90E+08
74,T3,C4,13443452.35,28487608045,6647084.452,2291.353571,0,3.360092109,6.822631197,0.001403457,7.39E-05,0,0,5,2935,3.467608106,0.242612416,0.442565217,0.048403686,2.79E+10,5.65E+08
75,T3,C4,62810826.07,27750801333,139206156.4,8166.246103,16,3.912022464,8.143658442,0.005215946,6.64E-05,0.000365449,0,1,9986,3.999391562,0.535426772,0.317634964,0.096439868,2.54E+10,2.38E+09
76,T2,C4,229344411.2,30647205457,17941530.44,15843.78948,16,4.199859063,7.253859486,0.005946218,0.00042473,0,0,2,18989,4.278502094,0.499002287,0.358144098,0.401196182,2.73E+10,3.36E+09
77,T2,C4,121307681.2,7410219548,7664546.688,269.2311766,0,2.430125349,6.884486474,0.000526994,0.000187376,0,3,2,1945,3.288919606,0.369673189,0.430639697,0.190599033,7.29E+09,1.23E+08
78,T2,C4,34635170.23,32229974963,35423755.85,11923.37633,0,4.076399252,7.549294606,0.005975395,0.00095862,0,3,0,5759,3.760347079,0.52288415,0.365254354,0.288181574,3.06E+10,1.59E+09
79,T2,C4,18440003.01,21863619123,92414103.57,3280.829686,0,3.515983686,7.965738255,0.001329008,0.000429973,0,0,4,8926,3.950656883,0.483147468,0.405327874,0.286502127,2.03E+10,1.52E+09
80,T2,C4,21709697.36,8131513010,32006405.03,247.7308907,0,2.393980164,7.505236897,0.002797986,0.000172184,0,0,1,4477,3.650987094,0.512245493,0.297175453,0.29660748,7.74E+09,3.94E+08
81,T1,C5,77655760.03,70442370490,76545141.91,855.399496,0,2.93216899,7.883917633,0.001924466,0.000507845,0.000106915,16,2,8933,3.950997334,0.504253151,0.407476714,0.246503107,6.55E+10,4.93E+09
82,T1,C5,73340509.06,1.29E+11,51162594.39,31845.0359,32,4.503041743,7.708952559,0.0009171,0.001250591,0,10,6,7776,3.890756252,0.505795311,0.45401206,0.322070546,1.22E+11,6.91E+09
83,T1,C5,26846203.92,1.46E+11,51411636.8,3737.567096,0,3.572588998,7.711061431,0.007581644,0.000294693,0,1,2,2703,3.431846046,0.456238529,0.365576773,0.34611219,1.43E+11,2.87E+09
84,T1,C5,13869619.46,1.12E+11,4984675.821,1409.27037,0,3.148994321,6.697636919,0.004748866,0.000577565,0,3,16,662,2.820857989,0.452127445,0.491376554,0.521838878,1.12E+11,4.28E+08
85,T1,C5,74173788.15,47880254110,18160904.24,4703.533971,8,3.672424285,7.259137468,0.012014788,0,0,1,13,1437,3.157456768,0.338771444,0.408172106,0.253886111,4.73E+10,5.90E+08
86,T2,C5,230594950.8,29771559358,17265279.57,4283.237275,0,3.631772133,7.237173615,0.000247986,0.00049597,0,1,9,6145,3.788521887,0.597819617,0.371139667,0.127858466,2.83E+10,1.47E+09
87,T2,C5,1077809345,83767388324,13078752.71,5653.989206,0,3.752354975,7.116566328,4.93E-05,1.23E-05,6.17E-05,3,3,542,2.733999287,0.339093665,0.59025315,0.0981947,8.33E+10,4.81E+08
88,T2,C5,986551.8,14749158010,824319.4581,40.9085273,0,1.611813845,5.916095552,0.000179088,0.000238784,0.000179088,1,4,938,2.972202838,0.464510112,0.4578451,0.215074017,1.46E+10,1.74E+08
89,T2,C5,5550168.76,14354732161,15321284.26,6649.291334,0,3.822775362,7.18529517,0.000196402,0.000240046,4.36E-05,0,6,7094,3.850891184,0.510749097,0.357945533,0.135168355,1.37E+10,6.51E+08
90,T2,C5,11813327.06,16708056392,25262076.14,3170.966193,24,3.501191612,7.40246904,0.01780854,0.002385671,0.000940828,0,7,10774,4.032376971,0.587416458,0.329375124,0.23669583,1.52E+10,1.52E+09
91,T3,C5,6488353.09,18268049544,170531507.8,4439.290043,8,3.647313521,8.231804632,0.028069542,0.005795005,0.00235422,7,18,17086,4.232640402,0.543135761,0.332932178,0.395434634,1.57E+10,2.55E+09
92,T3,C5,29240516.21,14305040551,18196894,729.7799131,0,2.863191905,7.259997265,0.000664696,0.016127622,0.000069968,6,940,20274,4.306939442,0.586903745,0.364405857,0.213530475,1.27E+10,1.62E+09
93,T3,C5,17679640.93,1.03E+11,389817719.7,19659.77165,16,4.293578469,8.590861577,0.000549511,0.00271092,0,2,13,15513,4.190695792,0.656085446,0.373707548,0.258494738,8.47E+10,1.81E+10
94,T3,C5,3983339.01,18681990115,78109533.54,14730.61214,16,4.168220795,7.892704044,0.003435935,0.000763541,0.001908853,1,2,16530,4.218272854,0.571210127,0.242849078,0.25587695,1.63E+10,2.41E+09
95,T3,C5,3583136.24,19949705145,267063867,1912.55434,8,3.281613783,8.426615133,0.000342524,0.001027573,0.00077068,36,49,9258,3.966517176,0.566443125,0.362661451,0.279004583,1.80E+10,1.94E+09
96,T4,C5,73692144.5,6149808507,35321.0539,85.1902159,0,1.930389719,4.548033653,8.47E-05,0,0,0,6,911,2.959518377,0.419426085,0.167586086,0.217730425,6.07E+09,7.84E+07
97,T4,C5,27026614.27,11893392754,18005925.64,10059.66867,131,4.002583677,7.255415452,0.01201799,0.000088476,0,15,40,5023,3.700963178,0.550220268,0.185462614,0.112876479,1.12E+10,7.02E+08
98,T4,C5,2320123.44,16719627595,1475097.233,3221.537979,0,3.508063256,6.168820648,0,0,0,0,2,1335,3.125481266,0.44305373,0.334342068,0.140643456,1.65E+10,2.20E+08
99,T4,C5,31904659.1,33928040152,155035919.9,54357.90898,64,4.735262742,8.190432331,0.0031675,0.000464954,0.001249564,5,5,9326,3.969695411,0.595029569,0.320545328,0.150430932,3.05E+10,3.40E+09
100,T4,C5,1527519.18,11556138281,3375624.259,2047.042376,25,3.311126833,6.528354099,0.000304731,0.000026888,0,5,32,6702,3.826204423,0.408952315,0.281856414,0.170033482,1.11E+10,5.04E+08
