o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66
0.010438453,1.88E-05,6.57E-05,0,0.015474795,0.180830012,0.051704572,0.002691676,0.000318875,0.000196952,0.031062134,0,0.000872216,0.000534584,0.041988277,0.00483939,0.002166471,9.38E-06,0.000872216,2.81E-05,0.001706917,0,0.000478312,0.000206331,9.38E-06,0,0.008131301,0,0,0,0,0,0,0,0,2.81E-05,0.002785463,0.000337632,0,2.81E-05,0.000206331,0,0,0.187235639,0.238480657,0,0,0,2.81E-05,0,0.001491208,0.000834701,0,0.000150059,0,0.194907386,0.013036342,0,1.88E-05,0.005767878,0,0,0,9.38E-06,0,9.38E-06
0.008571356,0,0.00111415,0,2.53E-05,0.167337689,0.12372126,0.004367973,0.000227894,0.000709004,0.036842905,0,0.000746987,0.000784969,0.103008204,0.002089031,0.001291401,0,2.53E-05,0.000126608,0.003760255,0,7.60E-05,0.000405145,0,0,0.010660387,0,0,0,0,0,1.27E-05,0,0,0.000240555,0.046465107,0.000544414,0,0.000126608,3.80E-05,0,0,0.170515547,0.174946825,0,0,1.27E-05,0,0,0.000329181,0.000240555,0,6.33E-05,0,0.117770688,0.000227894,0,5.06E-05,0.022523549,0,0,0,0,0,0
0.010792022,6.51E-06,0.000104145,6.51E-06,0.010102062,0.135154135,0.109514945,0.013486774,0.000130181,0.000182254,0.016363778,0,0.000794105,0.000397053,0.122448448,0.002037336,0.000748542,1.30E-05,1.30E-05,0.000156217,0.00422438,0,0.00048818,6.51E-05,6.51E-06,0,0.019559727,0,0,0,0,0,1.30E-05,0,0,6.51E-06,0.040076286,0.000195272,0,6.51E-06,5.86E-05,0,0,0.159725838,0.19262914,1.95E-05,0,0,1.95E-05,0,0.00083316,0.000312435,0,5.86E-05,0,0.148152729,0.001308321,0,0.000156217,0.00963341,0,0,0,0,0,0
0.015766111,1.22E-05,0,0,0.043294046,0.146707485,0.077795806,0.006857493,0.000673504,0,0.02055411,0,0.000936782,0.000348997,0.044983928,0.00620848,0.001604163,1.84E-05,0.000746977,0,0.004622685,0,0.00024491,0.000208174,1.22E-05,0,0.00439002,0,0,0,0,0,0,0,0,0,0.00445737,0.000581662,0,4.29E-05,6.74E-05,0,0,0.226627889,0.256868208,0,0,0,1.84E-05,0,0.001855197,0.000440839,0,0.000220419,0,0.121206184,0.011272004,6.12E-06,0,0.000348997,0,0,0,0,0,0
0.016049743,0,6.40E-05,0,0.043660138,0.163151043,0.055725902,0.012620675,0.00075411,8.54E-05,0.010052432,0,0.001735876,0.000540683,0.051137212,0.00453889,0.002283674,0,0.00051934,2.85E-05,0.004161835,0,0.000654511,0.000675854,7.11E-06,0,0.006168053,0,0,0,0,0,0,0,4.27E-05,5.69E-05,0.008857238,0.000697196,0,8.54E-05,0.000120942,0,0,0.239999146,0.240112974,1.42E-05,0,0,6.40E-05,0,0.003158726,0.000462426,0,0.000163628,0,0.119789703,0.009454835,0,0.000163628,0.002141389,0,0,0,0,0,0
0.009447047,0,0.000983958,0,0.000382069,0.134551069,0.064768534,0.007568105,0.000204119,0.000816476,0.020527046,0,0.001805668,0.001962683,0.065820532,0.002590741,0.001067699,0,0.000136079,0.000225054,0.004909324,0,3.14E-05,0.000455342,0.000282626,2.09E-05,0.008332243,0,0,1.05E-05,0,0,5.23E-06,0,1.57E-05,0.000371601,0.052589433,0.000560019,0,6.80E-05,0.000183184,0,0,0.194876089,0.208740481,5.23E-06,5.23E-06,0,4.71E-05,0,0.001345092,0.000125612,0,4.19E-05,0,0.198916599,0.00021982,0,0.000230288,0.014586659,0.000146547,5.23E-06,0,1.57E-05,0,0
0.014779304,8.64E-06,0,0,0.012559385,0.29687311,0.048846852,0.007920878,0.000483718,0,0.010227175,0,0.002876393,0.000380064,0.018683597,0.012714866,0.003973396,0,0.001312948,8.64E-06,0.001788028,0,5.18E-05,0,0,0,0.00355878,0,0,0,0,0,0,0,0,0,0.00075149,0.000241859,0,8.64E-06,7.77E-05,0,0,0.206832513,0.206201952,0,0,0,0,0,0.005338171,0.000915609,0,3.46E-05,0,0.128116092,0.014269673,0,8.64E-06,0.000155481,0,0,0,0,0,0
0.016407143,0,1.89E-05,0,0.04286217,0.246301952,0.074941246,0.006440951,0.000377031,0,0.009859367,0,0.001671505,0.000232503,0.027322198,0.010512888,0.005422966,0,0.001112242,6.28E-06,0.002243336,0,0.00027649,0.000182232,0,0,0.004172479,0,0,0,0,0,0,0,0,0,0.001545828,0.000471289,0,3.14E-05,5.66E-05,0,0,0.167584109,0.221405321,0,0,0,0,0,0.003474971,0.000414734,0,0.000182232,0,0.140268195,0.014075834,0,0,0.000125677,0,0,0,0,0,0
0.013409322,1.76E-05,0.000834241,8.78E-06,0.000166848,0.185271699,0.056403456,0.013435667,0.000149285,0.001264533,0.026300537,0,0.001308441,0.002098774,0.161166532,0.001984615,0.000632267,2.63E-05,0.000122941,0.00017563,0.006682708,0,0.000245881,0.001923144,0.00041273,0.000122941,0.027749482,0,0,0,0,0,0.000272226,0,0.000641048,0.001317222,0.038366293,0.00136113,0,0.00064983,0.0002371,0.000149285,0,0.142058028,0.248357863,0.000184411,4.39E-05,3.51E-05,0.000351259,0,0.001571885,0.000351259,0,0.000245881,0,0.034484878,0.000342478,0.000105378,0.0004742,0.026221504,0.000263444,0,0,0,0,0
0.010515822,0,0.001701983,0,6.08E-05,0.156497319,0.064079653,0.004254957,0.000170198,0.001276487,0.04414214,0,0.001665512,0.001872181,0.105535091,0.001872181,0.000972562,1.22E-05,3.65E-05,0.000170198,0.008376187,0,0.000133727,0.000316083,0.000522752,0,0.014479011,0,0,0,0,0,0.000133727,0,0,0.000984719,0.038002845,0.000534909,0,0.000182355,0.000194512,0,0,0.187436935,0.234156364,0.000230983,0,0,3.65E-05,0,0.001689826,0.000158041,0,9.73E-05,0,0.096125558,0.00024314,0,8.51E-05,0.020946546,9.73E-05,0,0,0,0,0
