TRT,CITY,ph,humus,orgC,caco3,al.k20,al.p2o5,nh4.n,no3.n,tot.n,k.a,Sat.perc,trt,city
1,4,7.20,9.21,5.34,59.76,128,266,11.9,5.95,0.370,73,81,Ref,Budapest
4,4,7.80,1.80,1.04,28.98,324,85.8,5.05,3.03,0.120,38,42,Rud,Budapest
4,4,7.44,6.35,3.69,7.20,285,55.7,7.47,6.89,0.407,60,66,Rud,Budapest
4,4,7.39,5.41,3.14,29.47,223,201,7.78,5.00,0.253,59,65,Rud,Budapest
4,4,7.56,3.64,2.11,24.56,410,335,5.24,7.62,0.200,40,44,Rud,Budapest
4,4,7.51,2.60,1.51,21.61,193,49.3,6.77,7.29,0.183,45,50,Rud,Budapest
3,4,7.66,3.17,1.84,9.00,295,129,5.21,2.60,0.180,47,52,Tur,Budapest
3,4,7.21,9.06,5.25,3.97,298,57.7,10.1,3.57,0.543,67,74,Tur,Budapest
3,4,7.71,2.22,1.29,9.82,169,125,5.55,3.70,0.123,34,38,Tur,Budapest
3,4,7.68,4.27,2.48,18.83,414,367,5.73,10.4,0.240,51,56,Tur,Budapest
3,4,7.43,3.16,1.83,26.20,367,85.8,9.67,9.67,0.197,46,51,Tur,Budapest
2,4,7.32,12.59,7.30,6.22,229,34.2,9.87,25.9,0.686,67,74,Rem,Budapest
2,4,6.50,29.50,17.11,2.13,277,75.1,19.2,40.8,0.943,134,147,Rem,Budapest
2,4,6.90,15.62,9.06,5.89,271,47.0,12.7,13.3,0.560,78,85,Rem,Budapest
2,4,7.26,25.16,14.59,7.94,300,655,20.0,13.3,1.24,111,122,Rem,Budapest
2,4,7.23,5.61,3.26,2.50,357,93.2,7.74,10.1,0.327,63,69,Rem,Budapest
1,5,6.18,4.99,2.89,0.00,459,395,5.05,2.52,0.250,43,48,Ref,Potchefstroom
1,5,6.45,3.53,2.05,0.00,324,43.9,3.43,0.49,0.153,43,48,Ref,Potchefstroom
1,5,6.21,5.30,3.08,0.00,427,24.3,4.84,0.54,0.237,50,55,Ref,Potchefstroom
1,5,5.45,4.72,2.74,0.00,134,27.2,7.29,2.08,0.250,47,52,Ref,Potchefstroom
1,5,6.51,2.30,1.33,0.00,442,52.7,36.0,5.37,0.123,41,45,Ref,Potchefstroom
2,5,6.33,3.35,1.94,0.00,517,28.4,9.09,1.51,0.170,40,44,Rem,Potchefstroom
2,5,6.43,5.28,3.06,0.00,438,75.5,7.78,1.11,0.240,51,56,Rem,Potchefstroom
2,5,6.22,5.77,3.35,0.00,596,67.4,7.78,1.11,0.293,49,54,Rem,Potchefstroom
2,5,6.85,3.21,1.86,0.00,610,185,8.89,2.78,0.183,43,47,Rem,Potchefstroom
2,5,7.67,2.92,1.69,2.56,613,193,5.00,6.11,0.147,49,53,Rem,Potchefstroom
3,5,7.15,4.65,2.69,0.10,669,247,8.33,3.12,0.247,51,56,Tur,Potchefstroom
3,5,6.19,10.55,6.12,0.00,741,1580,14.1,1.28,0.407,67,73,Tur,Potchefstroom
3,5,6.56,6.45,4.71,0.00,720,371,12.9,5.91,0.367,55,61,Tur,Potchefstroom
3,5,6.99,8.38,6.12,0.00,1303,475,18.4,53.4,0.497,60,66,Tur,Potchefstroom
3,5,5.96,11.28,8.24,0.00,906,613,49.3,21.5,0.670,82,90,Tur,Potchefstroom
4,5,6.49,5.28,3.06,0.00,414,134,8.08,1.51,0.243,42,46,Rud,Potchefstroom
4,5,6.70,4.70,2.72,0.00,993,285,38.4,65.6,0.303,45,49,Rud,Potchefstroom
4,5,,,,,,,,,,,,Rud,Potchefstroom
4,5,,,,,,,,,,,,Rud,Potchefstroom
4,5,6.84,4.14,2.40,0.00,629,657,7.84,14.70,0.210,42,46,Rud,Potchefstroom
